player_id,final_position,final_franchise_id,player,career_Season_range,final_team_name,career_sum_player_game_count,career_avg_player_game_count,career_avg_avg_depth_of_target,career_max_avg_depth_of_target,career_avg_avoided_tackles,career_max_avoided_tackles,career_avg_caught_percent,career_max_caught_percent,career_avg_contested_catch_rate,career_max_contested_catch_rate,career_sum_contested_receptions,career_avg_contested_receptions,career_sum_contested_targets,career_avg_contested_targets,career_avg_drop_rate,career_max_drop_rate,career_sum_drops,career_avg_drops,career_sum_first_downs,career_max_first_downs,career_sum_fumbles,career_avg_grades_hands_drop,career_max_grades_hands_drop,career_avg_grades_hands_fumble,career_max_grades_hands_fumble,career_avg_grades_offense,career_max_grades_offense,career_avg_grades_pass_block,career_max_grades_pass_block,career_avg_grades_pass_route,career_max_grades_pass_route,career_avg_inline_rate,career_max_inline_rate,career_sum_inline_snaps,career_max_inline_snaps,career_max_longest,career_avg_pass_block_rate,career_max_pass_block_rate,career_sum_pass_blocks,career_sum_pass_plays,career_sum_receptions,career_avg_receptions,career_avg_route_rate,career_max_route_rate,career_sum_routes,career_avg_routes,career_avg_slot_rate,career_max_slot_rate,career_sum_slot_snaps,career_avg_targeted_qb_rating,career_max_targeted_qb_rating,career_sum_targets,career_avg_targets,career_sum_touchdowns,career_avg_touchdowns,career_avg_wide_rate,career_max_wide_rate,career_sum_wide_snaps,career_avg_wide_snaps,career_sum_yards,career_avg_yards,career_sum_yards_after_catch,career_avg_yards_after_catch,career_avg_yards_after_catch_per_reception,career_max_yards_after_catch_per_reception,career_avg_yards_per_reception,career_max_yards_per_reception,career_avg_yprr,career_max_yprr,career_fpts_per_game,final_season,AGE_ON_DRAFT_DAY,HEIGHT,WEIGHT,HAND_SIZE,ARM_LENGTH,WINGSPAN,FORTY_TIME,TEN_SPLIT,TWENTY_SPLIT,VERTICAL,BROAD,SHUTTLE,THREE_CONE,BENCH,SPEED,ROUND,SELECTION,OVERALL_PICK,matched_draft_year,draft_match_method,draft_match_score,is_historical_drafted_wr
9437,WR,103.0,Amari Cooper,2014,ALABAMA,14.0,14.0,9.9,9.9,26.0,26.0,71.3,71.3,,,0.0,0.0,0.0,0.0,6.1,6.1,8.0,8.0,0.0,0.0,0.0,79.4,79.4,78.8,78.8,92.8,92.8,,,93.3,93.3,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,446.0,124.0,124.0,97.1,97.1,433.0,433.0,19.5,19.5,87.0,128.7,128.7,174.0,174.0,16.0,16.0,79.6,79.6,355.0,355.0,1727.0,1727.0,878.0,878.0,7.1,7.1,13.9,13.9,3.99,3.99,11.337012987012988,2014,,73.0,211.0,10.0,31.5,,4.42,1.63,,33.0,120.0,3.98,6.71,,,1.0,4.0,4.0,2015.0,exact,1.0,True
9440,WR,343.0,Kevin White,2014,W VIRGINIA,13.0,13.0,11.1,11.1,24.0,24.0,68.1,68.1,,,0.0,0.0,0.0,0.0,7.6,7.6,9.0,9.0,0.0,0.0,1.0,72.6,72.6,61.2,61.2,78.5,78.5,,,78.2,78.2,0.5,0.5,3.0,3.0,68.0,0.0,0.0,0.0,590.0,109.0,109.0,94.6,94.6,558.0,558.0,7.6,7.6,45.0,104.3,104.3,160.0,160.0,10.0,10.0,90.7,90.7,535.0,535.0,1447.0,1447.0,679.0,679.0,6.2,6.2,13.3,13.3,2.59,2.59,2.022222222222222,2014,,75.0,215.0,9.25,32.625,,4.35,1.66,,36.5,118.0,4.14,6.92,23.0,,1.0,7.0,7.0,2015.0,exact,1.0,True
9447,WR,210.0,DeVante Parker,2014,LOUISVILLE,6.0,6.0,14.4,14.4,15.0,15.0,57.3,57.3,,,0.0,0.0,0.0,0.0,4.4,4.4,2.0,2.0,1.0,1.0,0.0,79.1,79.1,73.2,73.2,92.2,92.2,,,92.4,92.4,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,206.0,43.0,43.0,97.6,97.6,201.0,201.0,10.2,10.2,21.0,86.3,86.3,75.0,75.0,5.0,5.0,89.8,89.8,185.0,185.0,855.0,855.0,348.0,348.0,8.1,8.1,19.9,19.9,4.25,4.25,7.80672268907563,2014,,75.0,209.0,9.25,33.25,,4.45,1.56,,36.5,125.0,,,17.0,,1.0,14.0,14.0,2015.0,exact,1.0,True
9453,WR,326.0,Nelson Agholor,2014,USC,13.0,13.0,8.9,8.9,17.0,17.0,76.3,76.3,,,0.0,0.0,0.0,0.0,6.4,6.4,7.0,7.0,0.0,0.0,0.0,77.6,77.6,77.7,77.7,89.2,89.2,,,91.2,91.2,2.4,2.4,11.0,11.0,87.0,0.0,0.0,0.0,467.0,103.0,103.0,95.7,95.7,447.0,447.0,52.2,52.2,244.0,129.4,129.4,135.0,135.0,12.0,12.0,41.5,41.5,194.0,194.0,1306.0,1306.0,573.0,573.0,5.6,5.6,12.7,12.7,2.92,2.92,6.121621621621622,2014,,72.0,198.0,9.25,32.25,,4.42,1.53,,,,,,12.0,,1.0,20.0,20.0,2015.0,exact,1.0,True
9459,WR,323.0,Breshad Perriman,2014,UCF,13.0,13.0,17.7,17.7,7.0,7.0,51.5,51.5,,,0.0,0.0,0.0,0.0,13.8,13.8,8.0,8.0,1.0,1.0,0.0,45.9,45.9,74.2,74.2,71.8,71.8,,,71.8,71.8,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,440.0,50.0,50.0,94.1,94.1,414.0,414.0,5.9,5.9,26.0,107.9,107.9,97.0,97.0,9.0,9.0,94.1,94.1,414.0,414.0,1044.0,1044.0,253.0,253.0,5.1,5.1,20.9,20.9,2.52,2.52,5.294736842105263,2014,,74.0,212.0,9.25,32.0,,,,,,,,,,,1.0,26.0,26.0,2015.0,exact,1.0,True
9462,WR,220.0,Phillip Dorsett,2014,MIAMI FL,13.0,13.0,18.9,18.9,3.0,3.0,53.7,53.7,,,0.0,0.0,0.0,0.0,2.7,2.7,1.0,1.0,0.0,0.0,0.0,83.6,83.6,73.2,73.2,72.9,72.9,,,71.6,71.6,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,386.0,36.0,36.0,96.9,96.9,374.0,374.0,22.8,22.8,88.0,132.3,132.3,67.0,67.0,10.0,10.0,77.2,77.2,298.0,298.0,871.0,871.0,360.0,360.0,10.0,10.0,24.2,24.2,2.33,2.33,0.0,2014,,70.0,185.0,9.375,30.25,,4.33,1.54,,37.0,122.0,4.11,6.7,13.0,,1.0,29.0,29.0,2015.0,exact,1.0,True
9470,WR,260.0,Devin Smith,2014,OHIO STATE,15.0,15.0,23.8,23.8,2.0,2.0,68.8,68.8,,,0.0,0.0,0.0,0.0,5.7,5.7,2.0,2.0,0.0,0.0,0.0,74.5,74.5,72.2,72.2,80.7,80.7,,,82.6,82.6,0.4,0.4,1.0,1.0,80.0,0.0,0.0,0.0,264.0,33.0,33.0,97.3,97.3,257.0,257.0,22.3,22.3,59.0,133.7,133.7,48.0,48.0,12.0,12.0,76.9,76.9,203.0,203.0,931.0,931.0,231.0,231.0,7.0,7.0,28.2,28.2,3.62,3.62,2.226315789473684,2014,,72.0,196.0,9.0,31.0,,4.42,1.63,,39.0,122.0,4.15,,10.0,,2.0,5.0,37.0,2015.0,exact,1.0,True
9474,WR,222.0,Devin Funchess,2014,MICHIGAN,11.0,11.0,9.7,9.7,7.0,7.0,60.8,60.8,,,0.0,0.0,0.0,0.0,8.8,8.8,6.0,6.0,0.0,0.0,0.0,66.1,66.1,75.2,75.2,72.0,72.0,69.8,69.8,71.8,71.8,2.6,2.6,9.0,9.0,45.0,0.3,0.3,1.0,345.0,62.0,62.0,96.2,96.2,332.0,332.0,39.4,39.4,136.0,79.4,79.4,102.0,102.0,4.0,4.0,57.7,57.7,199.0,199.0,733.0,733.0,268.0,268.0,4.3,4.3,11.8,11.8,2.21,2.21,7.008064516129032,2014,,76.0,232.0,9.75,33.5,,4.7,1.67,,38.5,122.0,,,17.0,,2.0,9.0,41.0,2015.0,exact,1.0,True
9502,WR,199.0,Tyler Lockett,2014,KANSAS ST,13.0,13.0,11.9,11.9,9.0,9.0,72.1,72.1,,,0.0,0.0,0.0,0.0,6.2,6.2,7.0,7.0,0.0,0.0,0.0,79.1,79.1,78.0,78.0,92.7,92.7,,,92.8,92.8,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,445.0,106.0,106.0,93.3,93.3,415.0,415.0,15.3,15.3,68.0,121.6,121.6,147.0,147.0,11.0,11.0,84.3,84.3,375.0,375.0,1515.0,1515.0,455.0,455.0,4.3,4.3,14.3,14.3,3.65,3.65,9.165730337078651,2014,,70.0,182.0,8.375,30.0,,4.4,1.56,,35.5,121.0,4.07,6.89,,,3.0,5.0,69.0,2015.0,exact,1.0,True
9503,WR,110.0,Jaelen Strong,2014,ARIZONA ST,12.0,12.0,13.9,13.9,7.0,7.0,53.3,53.3,,,0.0,0.0,0.0,0.0,8.0,8.0,7.0,7.0,1.0,1.0,0.0,70.3,70.3,76.2,76.2,86.6,86.6,,,87.5,87.5,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,455.0,81.0,81.0,94.7,94.7,431.0,431.0,25.3,25.3,115.0,92.2,92.2,152.0,152.0,10.0,10.0,74.7,74.7,340.0,340.0,1168.0,1168.0,421.0,421.0,5.2,5.2,14.4,14.4,2.71,2.71,3.625,2014,,74.0,217.0,9.0,32.5,,4.44,1.62,,42.0,123.0,,,,,3.0,6.0,70.0,2015.0,exact,1.0,True
