Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle
A.J. Brown,WR,Mississippi,"6'0""",226,,,,4.49,,36.5,"10'0""",19,,
Alex Wesley,WR,Northern Colorado,"6'0""",190,,,,4.45,,38.5,"10'5""",13,7.4,4.44
Andy Isabella,WR,Massachusetts,"5'9""",188,,,,4.31,,36.5,"10'1""",15,6.95,4.15
Anthony Johnson,WR,Buffalo,"6'2""",209,,,,,,32.5,"10'2""",18,7.12,
Antoine Wesley,WR,Texas Tech,"6'4""",206,,,,,,37,"9'9""",6,7.07,4.26
Ashton Dulin,WR,Malone University (Ohio),"6'1""",215,,,,4.43,,38,"10'1""",13,7,4.22
Bisi Johnson,WR,Colorado State,"6'0""",204,,,,4.51,,38,"10'4""",14,6.88,4.16
Cody Thompson,WR,Toledo,"6'1""",205,,,,4.57,,38.5,"9'11""",19,6.87,4.03
D.K. Metcalf,WR,Mississippi,"6'3""",228,,,,4.33,,40.5,"11'2""",27,7.38,4.5
Damarkus Lodge,WR,Mississippi,"6'2""",202,,,,4.55,,33.5,"9'11""",11,7.06,4.53
Darius Slayton,WR,Auburn,"6'1""",190,,,,4.39,,40.5,"11'3""",11,7,4.15
David Sills,WR,West Virginia,"6'3""",211,,,,4.57,,37.5,"9'9""",14,6.97,4.28
Deebo Samuel,WR,South Carolina,"5'11""",214,,,,4.48,,39,"10'2""",15,7.03,4.14
Dillon Mitchell,WR,Oregon,"6'1""",197,,,,4.46,,36.5,"10'2""",12,,4.29
Diontae Johnson,WR,Toledo,"5'10""",183,,,,4.53,,33.5,"10'3""",15,7.09,4.45
Emanuel Hall,WR,Missouri,"6'2""",201,,,,4.39,,43.5,"11'9""",15,,
Emmanuel Butler,WR,Northern Arizona,"6'3""",217,,,,,,36,"9'7""",11,,4.22
Felton Davis,WR,Michigan State,"6'3""",211,,,,,,,,21,,
Gary Jennings,WR,West Virginia,"6'1""",214,,,,4.42,,37,"10'7""",20,7.32,4.15
Greg Dortch,WR,Wake Forest,"5'7""",173,,,,,,,,,,
Hakeem Butler,WR,Iowa State,"6'5""",227,,,,4.48,,36,"10'8""",18,,
Hunter Renfrow,WR,Clemson,"5'10""",184,,,,4.59,,35,"9'8""",7,6.8,4.19
J.J. Arcega-Whiteside,WR,Stanford,"6'2""",225,,,,,,,,,,
Jakobi Meyers,WR,North Carolina State,"6'2""",203,,,,4.63,,37,"9'10""",13,7.07,4.23
Jalen Hurd,WR,Baylor,"6'5""",226,,,,,,,,23,,
Jamal Custis,WR,Syracuse,"6'4""",214,,,,4.5,,34.5,"10'4""",,,
Jamarius Way,WR,South Alabama,"6'3""",215,,,,4.63,,32.5,"9'11""",16,,4.66
Jaylen Smith,WR,Louisville,"6'2""",219,,,,4.47,,34.5,"10'2""",14,7.55,4.48
Jazz Ferguson,WR,Northwestern St. (LA),"6'5""",227,,,,4.45,,37,"10'3""",8,7.25,4.59
Johnnie Dixon,WR,Ohio State,"5'10""",201,,,,4.41,,37.5,"10'0""",16,,4.43
Jovon Durante,WR,Florida Atlantic,"5'11""",160,,,,4.55,,31.5,"10'0""",,7,4.31
Keelan Doss,WR,UC Davis,"6'2""",211,,,,,,,,8,,
Keesean Johnson,WR,Fresno State,"6'1""",201,,,,4.6,,30,"9'9""",14,7.28,4.23
Kelvin Harmon,WR,North Carolina State,"6'2""",221,,,,4.6,,32.5,"9'9""",18,7.15,4.32
Lil'Jordan Humphrey,WR,Texas,"6'4""",210,,,,4.75,,33.5,"9'11""",13,7.09,4.29
Marquise Brown,WR,Oklahoma,"5'9""",166,,,,,,,,,,
Mecole Hardman,WR,Georgia,"5'10""",187,,,,4.33,,36.5,"9'11""",17,,
Miles Boykin,WR,Notre Dame,"6'4""",220,,,,4.42,,43.5,"11'8""",12,6.77,4.07
N'Keal Harry,WR,Arizona State,"6'2""",228,,,,4.53,,38.5,"10'2""",27,,
Nyqwan Murray,WR,Florida State,"5'10""",191,,,,4.63,,34,"9'5""",8,7.2,4.4
Parris Campbell,WR,Ohio State,"6'0""",205,,,,4.31,,40,"11'3""",11,,4.03
Riley Ridley,WR,Georgia,"6'1""",199,,,,4.58,,30.5,"10'4""",13,7.22,4.28
Ryan Davis,WR,Auburn,"5'10""",189,,,,,,35,"10'4""",12,7.09,4.23
Stanley Morgan,WR,Nebraska,"6'0""",202,,,,4.53,,38.5,"10'5""",14,6.78,4.13
Terry Godwin,WR,Georgia,"5'11""",184,,,,4.55,,36.5,"9'9""",,6.96,
Terry McLaurin,WR,Ohio State,"6'0""",208,,,,4.35,,37.5,"10'5""",18,7.01,4.15
Travis Fulgham,WR,Old Dominion,"6'2""",215,,,,4.58,,36.5,"10'6""",15,,
Tyre Brady,WR,Marshall,"6'3""",211,,,,,,32,"9'9""",12,,4.25
