dataset_split,player_id,player,final_team_name,final_season,draft_year,OVERALL_PICK,ROUND,SELECTION,target_top40_ppg_within_3yrs,BIRTHDATE,AGE_ON_DRAFT_DAY,HEIGHT,WEIGHT,HAND_SIZE,ARM_LENGTH,WINGSPAN,FORTY_TIME,TEN_SPLIT,TWENTY_SPLIT,VERTICAL,BROAD,SHUTTLE,THREE_CONE,BENCH,SPEED,SOURCE,NOTES
holdout,170273,Carnell Tate,OHIO STATE,2025,2026,6.0,1.0,6.0,,,,74.25,192.0,10.25,31.75,78.0,4.53,1.61,,,,,,,,combine-results-2026-WR.csv,
holdout,174150,Makai Lemon,USC,2025,2026,11.0,1.0,11.0,,,,71.0,192.0,8.75,30.5,73.25,,,,,,,,,,combine-results-2026-WR.csv,
holdout,157690,Jordyn Tyson,ARIZONA ST,2025,2026,16.0,1.0,16.0,,,,74.125,203.0,9.125,30.25,75.25,,,,,,,,26.0,,combine-results-2026-WR.csv,
holdout,156395,Omar Cooper Jr.,INDIANA,2025,2026,26.0,1.0,26.0,,,,72.125,199.0,9.625,30.25,75.25,4.42,1.55,,37.0,,,,,,combine-results-2026-WR.csv,
holdout,170362,Kevin Concepcion,TEXAS A&M,2025,2026,27.0,1.0,27.0,,,,71.625,196.0,9.25,30.25,74.875,,,,,,,,,,combine-results-2026-WR.csv,
holdout,162481,Denzel Boston,WASHINGTON,2025,2026,29.0,1.0,29.0,,,,75.625,212.0,9.75,32.0,77.375,,,,35.0,,4.28,,,,combine-results-2026-WR.csv,
holdout,158374,Germie Bernard,ALABAMA,2025,2026,40.0,2.0,8.0,,,,73.25,206.0,9.875,30.375,74.875,4.48,1.52,,32.5,125.0,4.31,6.71,,,combine-results-2026-WR.csv,
holdout,174142,Zachariah Branch,GEORGIA,2025,2026,42.0,2.0,10.0,,,,68.625,177.0,9.0,29.375,72.375,4.35,1.5,,38.0,125.0,,,20.0,,combine-results-2026-WR.csv,
holdout,156241,Antonio Williams,CLEMSON,2025,2026,54.0,2.0,22.0,,,,71.5,187.0,9.25,30.75,76.0,4.41,1.55,,39.5,124.0,,7.0,10.0,,combine-results-2026-WR.csv,
holdout,156321,Chris Bell,LOUISVILLE,2025,2026,66.0,3.0,2.0,,,,73.875,222.0,10.0,31.75,76.75,,,,,,,,,,combine-results-2026-WR.csv,
holdout,151069,Malachi Fields,NOTRE DAME,2025,2026,71.0,3.0,7.0,,,,76.5,218.0,9.0,32.125,79.0,4.61,1.63,,38.0,124.0,4.35,6.98,,,combine-results-2026-WR.csv,
holdout,145107,Deion Burks,OKLAHOMA,2025,2026,79.0,3.0,15.0,,,,69.75,180.0,9.5,29.375,72.75,4.3,1.49,,42.5,131.0,,,26.0,,combine-results-2026-WR.csv,
holdout,145163,Skyler Bell,UCONN,2025,2026,89.0,3.0,25.0,,,,71.625,192.0,10.0,31.125,,4.4,1.53,,41.0,133.0,,,,,combine-results-2026-WR.csv,
holdout,146508,De'Zhaun Stribling,OLE MISS,2025,2026,93.0,3.0,29.0,,,,74.0,207.0,10.0,31.625,,4.36,1.52,,36.0,127.0,,,,,combine-results-2026-WR.csv,
holdout,159499,Elijah Sarratt,INDIANA,2025,2026,94.0,3.0,30.0,,,,74.5,210.0,10.0,31.25,75.75,,,,,,,,,,combine-results-2026-WR.csv,
holdout,187922,Ted Hurst,GA STATE,2025,2026,97.0,3.0,33.0,,,,75.0,206.0,9.75,32.625,,4.42,1.55,,36.5,135.0,,,,,combine-results-2026-WR.csv,
holdout,158409,Chris Brazzell II,TENNESSEE,2025,2026,99.0,3.0,35.0,,,,76.0,198.0,9.0,32.375,80.125,4.37,1.52,,,,,,,,combine-results-2026-WR.csv,
holdout,163865,Brenen Thompson,MISS STATE,2025,2026,104.0,4.0,4.0,,,,69.0,164.0,9.0,29.375,,4.26,1.54,,,,,,,,combine-results-2026-WR.csv,
holdout,154188,Jeff Caldwell,CINCINNATI,2025,2026,113.0,4.0,13.0,,,,77.0,216.0,9.75,32.625,,4.31,1.48,,42.0,134.0,,,,,combine-results-2026-WR.csv,
holdout,144513,Josh Cameron,BAYLOR,2025,2026,124.0,4.0,24.0,,,,73.5,220.0,10.25,33.125,,,,,,,,,,,combine-results-2026-WR.csv,
holdout,176638,Ja'Kobi Lane,USC,2025,2026,131.0,4.0,31.0,,,,76.0,200.0,10.5,32.625,,4.47,1.58,,40.0,129.0,,,,,combine-results-2026-WR.csv,
holdout,160756,Kevin Coleman,MISSOURI,2025,2026,149.0,5.0,10.0,,,,70.25,179.0,9.5,30.0,,4.49,1.62,,38.5,126.0,,,,,combine-results-2026-WR.csv,
holdout,145976,Eric McAlister,TCU,2025,2026,152.0,5.0,13.0,,,,76.0,194.0,9.75,32.625,,,,,,,,,,,combine-results-2026-WR.csv,
holdout,146288,J.Michael Sturdivant,FLORIDA,2025,2026,154.0,5.0,15.0,,,,75.0,207.0,9.5,32.875,,4.4,1.54,,39.0,131.0,,,,,combine-results-2026-WR.csv,
holdout,158022,Reggie Virgil,TEXAS TECH,2025,2026,181.0,5.0,42.0,,,,75.0,187.0,9.25,31.25,,4.57,1.51,,36.0,127.0,,,,,combine-results-2026-WR.csv,
holdout,144279,Eric Rivers,GA TECH,2025,2026,195.0,6.0,16.0,,,,70.0,176.0,9.0,30.5,,4.35,1.49,,37.0,127.0,,,,,combine-results-2026-WR.csv,
holdout,163734,Dillon Bell,GEORGIA,2025,2026,200.0,6.0,21.0,,,,72.75,209.0,9.5,30.25,,4.5,1.55,,39.0,126.0,,,,,combine-results-2026-WR.csv,
holdout,123874,CJ Daniels,MIAMI FL,2025,2026,208.0,6.0,29.0,,,,74.0,202.0,9.25,31.75,,,,,,,,,,,combine-results-2026-WR.csv,
holdout,147528,Chase Roberts,BYU,2025,2026,218.0,7.0,2.0,,,,75.0,209.0,9.75,31.5,,4.64,1.57,,37.0,126.0,,,,,combine-results-2026-WR.csv,
holdout,156448,Kaden Wetjen,IOWA,2025,2026,228.0,7.0,12.0,,,,69.0,193.0,8.5,29.625,,4.47,1.51,,35.5,,4.44,6.95,,,combine-results-2026-WR.csv,
holdout,157004,Kendrick Law,KENTUCKY,2025,2026,236.0,7.0,20.0,,,,71.0,203.0,9.625,31.125,,4.45,1.53,,42.0,128.0,,,21.0,,combine-results-2026-WR.csv,
holdout,157298,Jordan Hudson,SMU,2025,2026,247.0,7.0,31.0,,,,73.0,191.0,9.25,31.125,,,,,,,,,,,combine-results-2026-WR.csv,
holdout,143817,Lewis Bond,BOSTON COL,2025,2026,248.0,7.0,32.0,,,,,,,,,,,,,,,,,,,
holdout,157740,Caleb Douglas,TEXAS TECH,2025,2026,249.0,7.0,33.0,,,,75.5,206.0,10.125,32.5,,4.39,1.53,,31.5,126.0,,,,,combine-results-2026-WR.csv,
holdout,163779,Barion Brown,LSU,2025,2026,250.0,7.0,34.0,,,,71.0,177.0,9.0,31.5,,4.4,1.62,,,,,,,,combine-results-2026-WR.csv,
holdout,156582,Cyrus Allen,CINCINNATI,2025,2026,251.0,7.0,35.0,,,,,,,,,,,,,,,,,,,
train,9437,Amari Cooper,ALABAMA,2014,2015,4.0,1.0,4.0,1.0,,,73.0,211.0,10.0,31.5,,4.42,1.63,,33.0,120.0,3.98,6.71,,,2015_combine_results.csv,
