Player,School,Height,Weight,Arm,Hand,10 Yard,40,Bench,Vertical,Broad,3-Cone,Short Shuttle,60 Yard Shuttle,Drops
Nelson Agholor,Southern Cal,6'0,198,32 1/4,9 1/4,1.53,4.42,12,,,,,,
Mario Alford,West Virginia,5'8,180,31 1/4,9 3/8,1.66,4.43,13,"34""","10'1""",6.64,4.07,11.22,
Dres Anderson,Utah,6'1,187,31 5/8,9 3/8,,,13,,,,,,
Kenny Bell,Nebraska,6'1,197,31 5/8,9 1/4,1.57,4.42,7,"41.5""","10'9""",6.66,4.15,11.6,
Da'Ron Brown,Northern Illinois,6'0,205,32,10 1/4,1.55,4.54,17,"37""",10',7.04,4.11,11.68,
Kaelin Clay,Utah,5'10,195,30 7/8,9,1.65,4.51,10,"33""","9'5""",6.97,4.26,,
Sammie Coates,Auburn,6'1,212,33 3/8,9 3/8,1.59,4.43,23,"41""","10'11""",6.98,4.06,11.81,
Chris Conley,Georgia,6'2,213,33 3/4,9 7/8,1.6,4.35,18,"45""","11'7""",7.06,4.3,1.65,
Amari Cooper,Alabama,6'1,211,31 1/2,10,1.63,4.42,,"33""",10',6.71,3.98,,
Jamison Crowder,Duke,5'8,185,30 3/8,8 3/4,1.71,4.56,10,"37""","9'7""",7.17,4.32,,
Davaris Daniels,Notre Dame,6'1,201,31 1/4,9,1.58,4.62,13,"37""","10'2""",,,,
Devante Davis,UNLV,6'3,220,32 3/8,9 1/2,1.6,4.57,16,"35.5""","9'7""",7.25,4.12,11.6,
Geremy Davis,UConn,6'2,216,32 1/4,9 1/2,,,23,"36.5""","10'4""",6.86,4.18,11.28,
Titus Davis,Central Michigan,6'1,196,29 5/8,8 1/4,1.64,4.51,,"32.5""","9'11""",7.14,4.28,,
Stefon Diggs,Maryland,6'0,195,31 1/4,10,1.54,4.46,,"35""","9'7""",7.03,4.32,,
Phillip Dorsett,Miami (FL),5'10,185,30 1/4,9 3/8,1.54,4.33,13,"37""","10'2""",6.7,4.11,,
Devin Funchess,Michigan,6'4,232,33 1/2,9 3/4,1.67,4.7,17,"38.5""","10'2""",,,,
Antwan Goodley,Baylor,5'10,209,30 3/4,9 1/4,1.53,4.44,,,,,,,
Dorial Green-Beckham,Missouri,6'5,237,32 1/2,9,1.61,4.49,13,"33.5""","9'11""",6.89,4.45,11.89,
Rashad Greene,Florida State,5'11,182,31 5/8,9,1.53,4.53,,"36.5""","10'2""",6.88,4.12,,
Rannell Hall,Central Florida,6'0,198,30 1/2,8 5/8,1.62,4.6,16,"41""",11',6.86,4.15,,
Justin Hardy,East Carolina,5'10,192,32 1/8,10,1.6,4.56,11,"36.5""","9'6""",6.63,4.21,,
Josh Harper,Fresno State,6'1,191,30 7/8,8 3/4,1.69,4.64,13,"32""",9',7.15,4.26,12.26,
Chris Jones,Alabama,5'10,182,30,9,1.62,4.63,8,"32.5""","9'11""",6.91,4.19,11.76,II
Dezmin Lewis,Central Arkansas,6'4,214,32 1/2,9 7/8,1.66,4.58,16,"33.5""","9'11""",7.11,4.28,11.63,I
Tony Lippett,Michigan State,6'2,192,32 3/4,9 7/8,1.68,4.61,10,"36""","9'6""",6.92,4.13,11.44,I
Tyler Lockett,Kansas State,5'10,182,30,8 3/8,1.56,4.4,,"35.5""","10'1""",6.89,4.07,11.14,
Deon Long,Maryland,6'0,192,31,9 1/2,1.65,4.51,12,"34""",10',6.98,4.27,,
Tello Luckett,Harding,6'0,211,31,9 1/4,1.69,4.65,17,"34""","9'10""",7.51,4.5,12.52,II
Vince Mayle,Washington State,6'2,224,31 3/4,9,1.71,4.67,,"35.5""","9'9""",6.93,4.13,,I
Tre McBride,William & Mary,6'0,210,32 1/8,9,1.51,4.41,16,"38""","10'2""",6.96,4.08,11.7,II
Ty Montgomery,Stanford,6'0,221,31,10 1/8,1.62,4.55,,"40.5""","10'1""",6.97,4.21,11.57,II
Keith Mumphery,Michigan State,6'0,215,31 1/8,9 1/8,1.69,4.54,,"32.5""","10'1""",7.07,4.25,,III
J.J Nelson,UAB,5'10,156,31 1/8,8 1/4,1.5,4.28,,"36""","10'7""",7.02,4.15,11.89,
DeVante Parker,Louisville,6'3,209,33 1/4,9 1/4,1.56,4.45,17,"36.5""","10'5""",,,,I
Breshad Perriman,Central Florida,6'2,212,32,9 1/4,,,,,,,,,
Ezell Ruffin,San Diego State,6'0,218,31 1/8,8 3/4,1.66,4.68,17,"27.5""","9'2""",7.35,4.58,12.59,I
DeAndre Smelter,Georgia Tech,6'2,226,32 5/8,11,,,,,,,,,
Devin Smith,Ohio State,6'0,196,31,9,1.63,4.42,10,"39""","10'2""",,4.15,,I
Jaelen Strong,Arizona State,6'2,217,32 1/2,9,1.62,4.44,,"42""","10'3""",,,,I
Darren Waller,Georgia Tech,6'6,238,33 1/4,9,1.58,4.46,12,"37""","10'5""",7.07,4.25,11.34,IIII
DeAndrew White,Alabama,5'11,193,31,9 1/8,1.62,4.44,,"34.5""",10'3',6.97,4.18,,I
Kevin White,West Virginia,6'3,215,32 5/8,9 1/4,1.66,4.35,23,"36.5""","9'10""",6.92,4.14,11.52,I
Cam Worthy,East Carolina,6'2,211,33 1/2,10 1/8,,,12,,,,,,
