Year,No.,Round,Pick,Player,Name,Team,College
2026,1,1,6,6,Carnell Tate,Browns,Ohio State
2026,2,1,11,11,Makai Lemon,Dolphins,USC
2026,3,1,16,16,Jordyn Tyson,Jets,Arizona State
2026,4,1,26,26,Omar Cooper Jr.,Bills,Indiana
2026,5,1,27,27,Kevin Concepcion,49ers,Texas A&M
2026,6,1,29,29,Denzel Boston,Chiefs,Washington
2026,7,2,8,40,Germie Bernard,Chiefs,Alabama
2026,8,2,10,42,Zachariah Branch,Saints,Georgia
2026,9,2,22,54,Antonio Williams,Eagles,Clemson
2026,10,3,2,66,Chris Bell,Titans,Louisville
2026,11,3,7,71,Malachi Fields,Commanders,Notre Dame
2026,12,3,15,79,Deion Burks,Falcons,Oklahoma
2026,13,3,25,89,Skyler Bell,Bears,Connecticut
2026,14,3,29,93,De'Zhaun Stribling,Rams,Mississippi
2026,15,3,30,94,Elijah Sarratt,Dolphins,Indiana
2026,16,3,32,96,Bryce Lance,Seahawks,North Dakota State
2026,17,3,33,97,Ted Hurst,Vikings,Georgia State
2026,18,3,35,99,Chris Brazzell,Steelers,Tennessee
2026,19,4,4,104,Brenen Thompson,Cardinals,Mississippi State
2026,20,4,13,113,Jeff Caldwell,Colts,Cincinnati
2026,21,4,24,124,Josh Cameron,Jaguars,Baylor
2026,22,4,31,131,Jakobi Lane,Patriots,USC
2026,23,5,10,149,Kevin Coleman Jr.,Browns,Missouri
2026,24,5,13,152,Eric McAlister,Texans,Texas Christian
2026,25,5,15,154,J. Michael Sturdivant,Ravens,Florida
2026,26,5,42,181,Reggie Virgil,Lions,Texas Tech
2026,27,6,16,195,Eric Rivers,Buccaneers,Georgia Tech
2026,28,6,21,200,Dillion Bell,Panthers,Georgia
2026,29,6,29,208,CJ Daniels,Raiders,Miami
2026,30,7,2,218,Chase Roberts,Cowboys,BYU
2026,31,7,12,228,Kaden Wetjen,Jets,Iowa
2026,32,7,20,236,Kendrick Law,Packers,Kentucky
2026,33,7,31,247,Jordan Hudson,Patriots,Southern Methodist
2026,34,7,32,248,Lewis Bond,Broncos,Boston College
2026,35,7,33,249,Caleb Douglas,Texans,Texas Tech
2026,36,7,34,250,Barion Brown,Ravens,LSU
2026,37,7,35,251,Cyrus Allen,Chargers,Cincinnati
2025,30,1,2,2,Travis Hunter,Jaguars,Colorado
2025,2,1,8,8,Tetairoa McMillan,Panthers,Arizona
2025,3,1,19,19,Emeka Egbuka,Buccaneers,Ohio State
2025,4,1,23,23,Matthew Golden,Packers,Texas
2025,5,2,2,34,Jayden Higgins,Texans,Iowa State
2025,6,2,7,39,Luther Burden,Bears,Missouri
2025,7,2,23,55,Tre Harris,Chargers,Mississippi
2025,8,2,26,58,Jack Bech,Raiders,Texas Christian
2025,9,3,5,69,Kyle Williams,Patriots,Washington State
2025,10,3,6,70,Isaac TeSlaa,Lions,Arkansas
2025,11,3,10,74,Pat Bryant,Broncos,Illinois
2025,12,3,15,79,Jaylin Noel,Texans,Iowa State
2025,13,3,23,87,Savion Williams,Packers,Texas Christian
2025,14,3,38,102,Tai Felton,Vikings,Maryland
2025,15,4,1,103,Chimere Dike,Titans,Florida
2025,16,4,6,108,Dont'e Thornton,Raiders,Tennessee
2025,17,4,8,110,Arian Smith,Jets,Georgia
2025,18,4,26,128,Jaylin Lane,Commanders,Virginia Tech
2025,19,4,31,133,Jalen Royals,Chiefs,Utah State
2025,20,4,34,136,Elic Ayomanor,Titans,Stanford
2025,21,4,36,138,Jordan Watkins,49ers,Mississippi
2025,22,5,20,158,KeAndre Lambert-Smith,Chargers,Auburn
2025,23,5,28,166,Tory Horton,Seahawks,Colorado State
2025,24,6,27,203,LaJohntay Wester,Ravens,Colorado
2025,25,6,32,208,Jimmy Horn,Panthers,Colorado
2025,26,6,37,213,Tommy Mellott,Raiders,Montana State
2025,27,7,19,235,Tez Johnson,Buccaneers,Oregon
2025,28,7,22,238,Ricky White,Seahawks,UNLV
2025,29,7,24,240,Kaden Prather,Bills,Maryland
2025,30,7,26,242,Konata Mumpfield,Rams,Pittsburgh
2025,31,7,28,244,Dominic Lovett,Lions,Georgia
2025,32,7,36,252,Junior Bergen,49ers,Montana
2024,1,1,4,4,Marvin Harrison,Cardinals,Ohio State
2024,2,1,6,6,Malik Nabers,Giants,Louisiana State
2024,3,1,9,9,Rome Odunze,Bears,Washington
2024,4,1,23,23,Brian Thomas,Jaguars,Louisiana State
2024,5,1,28,28,Xavier Worthy,Chiefs,Texas
2024,6,1,31,31,Ricky Pearsall,49ers,Florida
2024,7,1,32,32,Xavier Legette,Panthers,South Carolina
2024,8,2,1,33,Keon Coleman,Bills,Florida State
2024,9,2,2,34,Ladd McConkey,Chargers,Georgia
2024,10,2,5,37,Ja'Lynn Polk,Patriots,Washington
2024,11,2,20,52,Adonai Mitchell,Colts,Texas
2024,12,3,1,65,Malachi Corley,Jets,Western Kentucky
2024,13,3,16,80,Jermaine Burton,Bengals,Alabama
2024,14,3,20,84,Roman Wilson,Steelers,Michigan
2024,15,3,28,92,Jalen McMillan,Buccaneers,Washington
2024,16,3,36,100,Luke McCaffrey,Commanders,Rice
2024,17,4,2,102,Troy Franklin,Broncos,Oregon
2024,18,4,10,110,Javon Baker,Patriots,Central Florida
2024,19,4,13,113,Devontez Walker,Ravens,North Carolina
2024,20,4,35,135,Jacob Cowing,49ers,Arizona
2024,21,5,7,142,Anthony Gould,Colts,Oregon State
2024,22,5,17,152,Ainias Smith,Eagles,Texas A&M
2024,23,5,21,156,Jamari Thrash,Browns,Louisville
2024,24,5,35,170,Bub Means,Saints,Pittsburgh
2024,25,6,6,182,Jha'Quan Jackson,Titans,Tulane
