dataset,evaluation,weight,samples,positive_rate,accuracy,brier,roc_auc,average_precision
top40_recent,draft_year_backtest_2023,0.0,30,0.36666666666666664,0.6666666666666666,0.18280127062979107,0.8708133971291866,0.8696223367275999
top40_recent,draft_year_backtest_2023,0.15,30,0.36666666666666664,0.6333333333333333,0.18915849968494525,0.8660287081339714,0.8672299922299924
top40_recent,draft_year_backtest_2023,0.25,30,0.36666666666666664,0.6333333333333333,0.19360319306675786,0.8564593301435407,0.8633988233988235
top40_recent,draft_year_backtest_2023,0.35,30,0.36666666666666664,0.6333333333333333,0.19821311899127186,0.84688995215311,0.8500674577947305
top40_recent,draft_year_backtest_2023,0.45,30,0.36666666666666664,0.6333333333333333,0.20298827745848716,0.8373205741626795,0.8219289296562025
top40_recent,draft_year_backtest_2023,0.55,30,0.36666666666666664,0.6333333333333333,0.20792866846840388,0.8373205741626795,0.8219289296562025
top40_recent,random_split,0.0,55,0.23636363636363636,0.8,0.14135335331618254,0.7582417582417583,0.6571094710073377
top40_recent,random_split,0.15,55,0.23636363636363636,0.8181818181818182,0.13821596111524598,0.7747252747252747,0.6919197346570505
top40_recent,random_split,0.25,55,0.23636363636363636,0.8363636363636363,0.13654526367733466,0.782051282051282,0.6942524113021298
top40_recent,random_split,0.35,55,0.23636363636363636,0.8545454545454545,0.1352112841295937,0.7948717948717949,0.6987885794849851
top40_recent,random_split,0.45,55,0.23636363636363636,0.8727272727272727,0.1342140224720232,0.8113553113553114,0.7097069597069596
top40_recent,random_split,0.55,55,0.23636363636363636,0.8727272727272727,0.13355347870462306,0.8205128205128206,0.7179202490571268
top40_strict,draft_year_backtest_2023,0.0,30,0.36666666666666664,0.6666666666666666,0.18280127062979107,0.8708133971291866,0.8696223367275999
top40_strict,draft_year_backtest_2023,0.15,30,0.36666666666666664,0.6333333333333333,0.18915849968494525,0.8660287081339714,0.8672299922299924
top40_strict,draft_year_backtest_2023,0.25,30,0.36666666666666664,0.6333333333333333,0.19360319306675786,0.8564593301435407,0.8633988233988235
top40_strict,draft_year_backtest_2023,0.35,30,0.36666666666666664,0.6333333333333333,0.19821311899127186,0.84688995215311,0.8500674577947305
top40_strict,draft_year_backtest_2023,0.45,30,0.36666666666666664,0.6333333333333333,0.20298827745848716,0.8373205741626795,0.8219289296562025
top40_strict,draft_year_backtest_2023,0.55,30,0.36666666666666664,0.6333333333333333,0.20792866846840388,0.8373205741626795,0.8219289296562025
top40_strict,random_split,0.0,54,0.2222222222222222,0.8703703703703703,0.13614440631321734,0.7817460317460317,0.6907839946638445
top40_strict,random_split,0.15,54,0.2222222222222222,0.8518518518518519,0.133674339583888,0.7956349206349206,0.7168086815527209
top40_strict,random_split,0.25,54,0.2222222222222222,0.8518518518518519,0.13250255438558534,0.8075396825396826,0.720642799091075
top40_strict,random_split,0.35,54,0.2222222222222222,0.8333333333333334,0.1317107099509494,0.8273809523809523,0.7279188303257623
top40_strict,random_split,0.45,54,0.2222222222222222,0.8148148148148148,0.1312988062799803,0.8373015873015873,0.7443852325431274
top40_strict,random_split,0.55,54,0.2222222222222222,0.8148148148148148,0.131266843372678,0.8432539682539683,0.750875617158512
yards600_strict,draft_year_backtest_2024,0.0,34,0.20588235294117646,0.9117647058823529,0.09111958083328169,0.947089947089947,0.8809523809523809
yards600_strict,draft_year_backtest_2024,0.15,34,0.20588235294117646,0.9117647058823529,0.09248146138142811,0.947089947089947,0.8809523809523809
yards600_strict,draft_year_backtest_2024,0.25,34,0.20588235294117646,0.9117647058823529,0.0937559539338104,0.947089947089947,0.8809523809523809
yards600_strict,draft_year_backtest_2024,0.35,34,0.20588235294117646,0.9117647058823529,0.0953237042357537,0.9417989417989419,0.8761904761904762
yards600_strict,draft_year_backtest_2024,0.45,34,0.20588235294117646,0.9117647058823529,0.09718471228725806,0.9417989417989419,0.8761904761904762
yards600_strict,draft_year_backtest_2024,0.55,34,0.20588235294117646,0.9117647058823529,0.09933897808832347,0.9417989417989419,0.8761904761904762
yards600_strict,random_split,0.0,61,0.22950819672131148,0.8360655737704918,0.12472017030367598,0.8586626139817629,0.6861154103149177
yards600_strict,random_split,0.15,61,0.22950819672131148,0.8524590163934426,0.12260028137313597,0.8677811550151976,0.6881277630415562
yards600_strict,random_split,0.25,61,0.22950819672131148,0.8524590163934426,0.12207549070857876,0.8768996960486322,0.7043006768938446
yards600_strict,random_split,0.35,61,0.22950819672131148,0.8524590163934426,0.12226147494199713,0.878419452887538,0.6991473803973803
yards600_strict,random_split,0.45,61,0.22950819672131148,0.8360655737704918,0.12315823407339108,0.8753799392097266,0.722675445469563
yards600_strict,random_split,0.55,61,0.22950819672131148,0.8360655737704918,0.12476576810276059,0.8738601823708206,0.7253817035499063
