Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle
Adam Krumholz,WR,Wisconsin,"6'0""",193,,,,4.6,,35.5,"9'10""",11,7.03,4.28
Adrian Hardy,WR,Louisiana Tech,"6'1""",205,,,,4.61,,37.5,"10'4""",12,6.96,4.5
Amari Rodgers,WR,Clemson,"5'9""",212,,,,4.52,,33,"10'1""",19,7.07,4.31
Amon-Ra St. Brown,WR,USC,"5'11""",197,,,,4.51,,38.5,"10'7""",20,6.88,4.17
Anthony Schwartz,WR,Auburn,"6'0""",186,,,,4.27,,32,"10'3""",,7.13,4.25
Antonio Nunn,WR,Buffalo,"5'11""",204,,,,4.5,,33.5,"10'0""",15,7.12,4.32
Bailey Gaither,WR,San Jose St.,"6'0""",188,,,,4.45,,31,"10'1""",9,7.07,4.39
Ben Skowronek,WR,Notre Dame,"6'2""",220,,,,,,,,13,,
Blake Proehl,WR,East Carolina,"6'1""",186,,,,4.47,,36,"10'6""",12,7,4.06
Branden Mack,WR,Temple,"6'5""",217,,,,4.66,,31,"9'7""",11,7.13,4.37
Brandon Smith,WR,Iowa,"6'1""",218,,,,4.62,,39.5,"10'10""",,,
Brennan Eagles,WR,Texas,"6'3""",225,,,,4.55,,36.5,"10'5""",,6.93,4.42
Connor Wedington,WR,Stanford,"6'0""",196,,,,4.47,,38.5,"9'9""",13,6.66,4.07
Cornell Powell,WR,Clemson,"6'0""",204,,,,4.53,,36.5,"10'8""",16,7.03,4.21
D'Wayne Eskridge,WR,West. Michigan,"5'8""",190,,,,4.38,,35,"10'4""",,6.93,4.22
Damon Hazelton,WR,Missouri,,,,,,4.6,,37.5,,,,
Damonte Coxie,WR,Memphis,"6'2""",198,,,,4.77,,30.5,"10'2""",4,6.92,4.45
Dax Milne,WR,BYU,,,,,,4.54,,31,"9'6""",14,,4.19
Dazz Newsome,WR,North Carolina,"5'10""",190,,,,4.59,,34,"10'1""",12,7.38,4.38
DeVontres Dukes,WR,South Florida,"6'3""",216,,,,4.81,,33,"10'2""",16,7.07,4.41
Dez Fitzpatrick,WR,Louisville,"6'1""",208,,,,4.43,,35,,,7.09,4.26
Dillon Stoner,WR,Oklahoma St.,"6'0""",194,,,,4.51,,37,"10'3""",16,6.96,4.13
Dyami Brown,WR,North Carolina,"6'0""",189,,,,4.46,,35,"10'8""",18,6.87,4.35
Eli Stove,WR,Auburn,"5'11""",194,,,,4.54,,30.5,"9'11""",14,7.34,4.4
Elijah Moore,WR,Mississippi,,,,,,4.35,,36,"10'1""",17,6.63,4.07
Frank Darby,WR,Arizona St.,"6'0""",201,,,,4.56,,34.5,"9'9""",19,7.05,4.25
Ihmir Smith-Marsette,WR,Iowa,"6'0""",181,,,,4.43,,37,"10'4""",,7,4.2
Isaiah McKoy,WR,Kent St.,"6'2""",200,,,,4.68,,29.5,"9'6""",12,7.09,4.36
Ja'Marr Chase,WR,LSU,"6'0""",201,,,,4.34,,41,"11'0""",,6.96,3.99
Jacob Harris,WR,Central Florida,"6'5""",219,,,,4.39,,40.5,"11'1""",15,6.54,4.31
Jaelon Darden,WR,North Texas,"5'7""",174,,,,4.47,,35.5,"10'2""",,6.66,3.98
Jalen Camp,WR,Georgia Tech,"6'1""",226,,,,4.48,,39.5,"10'5""",29,7,4.14
Jaylen Harris,WR,Ohio St.,"5'8""",170,,,,4.77,,30.5,"9'1""",8,7.37,4.5
Johnathon Johnson,WR,Missouri,,,,,,,,,,,,
Jonathan Adams,WR,Arkansas St.,"6'2""",210,,,,4.59,,39,"11'0""",,7.04,4.38
Jonathan Nance,WR,Missouri,,,,,,,,,,,,
Josh Blancato,WR,Georgia Tech,"5'9""",182,,,,4.55,,32,"10'4""",17,6.9,4.31
Josh Imatorbhebhe,WR,Illinois,"6'0""",218,,,,4.53,,46.5,"11'2""",24,7.1,4.38
Kadarius Toney,WR,Florida,"5'11""",193,,,,4.39,,39.5,"11'4""",9,6.88,4.25
Kawaan Baker,WR,South Alabama,"6'0""",210,,,,4.44,,39.5,"10'9""",21,7.42,4.41
Khalil McClain,WR,Troy,"6'2""",214,,,,4.7,,32,"9'6""",15,7.72,4.5
Marlon Williams,WR,Central Florida,"5'11""",209,,,,4.63,,33.5,"9'11""",14,,4.57
Marquez Stevenson,WR,Houston,"5'10""",180,,,,4.48,,33,"10'2""",,6.76,4.14
Nico Collins,WR,Michigan,"6'4""",215,,,,4.43,,37.5,"10'5""",14,6.78,4.29
Racey McMath,WR,LSU,"6'2""",217,,,,4.36,,34,"10'4""",,7.38,4.38
Ramaud Chiaokhiao-Bowman,WR,Northwestern,"6'1""",204,,,,4.78,,34.5,"9'11""",11,6.78,4.2
Rashod Bateman,WR,Minnesota,"6'0""",190,,,,4.39,,36,"10'3""",,,
Riley Lees,WR,Northwestern,"5'11""",192,,,,4.47,,35,"9'11""",7,6.78,4.16
