player,draft_year,OVERALL_PICK,ROUND,SELECTION,HEIGHT,WEIGHT,draft_pick_bucket_ordinal,is_round1_pick,is_top10_pick,target_600yd_receiving_within_2yrs,best_receiving_yards_within_window,games_in_best_receiving_season_within_window,first_600yd_receiving_year,college_seasons_played,first_breakout_season_index,early_breakout_flag,final_team_target_share,final_top_teammate_target_share,final_season_with_dominant_teammate,model_prob_600yd_within_2yrs,draft_prior_prob,prob_600yd_within_2yrs,draft_blend_weight,predicted_600yd_within_2yrs
Rome Odunze,2024.0,9.0,1.0,9.0,,,0.0,1,1,1,734.0,17.0,2024.0,4,3.0,0,0.2616822429906542,0.20186915887850468,1,0.8772827324426123,0.4877883310719131,0.7799091320999375,0.25,1
Malik Nabers,2024.0,6.0,1.0,6.0,,,0.0,1,1,1,1204.0,15.0,2024.0,3,2.0,1,0.3248730964467005,0.22081218274111675,1,0.8498664619405727,0.4877883310719131,0.7593469292234079,0.25,1
Xavier Worthy,2024.0,28.0,1.0,28.0,,,2.0,1,0,1,638.0,17.0,2024.0,3,1.0,1,0.26741573033707866,0.19325842696629214,1,0.732081072399102,0.38326226012793174,0.6448763693313095,0.25,1
Marvin Harrison Jr.,2024.0,4.0,1.0,4.0,,,0.0,1,1,1,885.0,17.0,2024.0,3,2.0,1,0.3,0.15789473684210525,0,0.6957758996637261,0.4877883310719131,0.6437790075157729,0.25,1
Ladd McConkey,2024.0,34.0,2.0,2.0,,,3.0,0,0,1,1149.0,16.0,2024.0,3,1.0,1,0.08584686774941995,0.16473317865429235,0,0.5627199115799725,0.38579828132066935,0.5184895040151467,0.25,1
Malachi Corley,2024.0,65.0,3.0,1.0,,,4.0,0,0,0,79.0,13.0,,4,2.0,1,0.22330097087378642,0.1378640776699029,0,0.5372883582062509,0.3425893786879555,0.488613613326677,0.25,0
Brian Thomas Jr.,2024.0,23.0,1.0,23.0,,,2.0,1,0,1,1282.0,17.0,2024.0,3,3.0,0,0.22081218274111675,0.3248730964467005,1,0.473291756148224,0.38326226012793174,0.450784382143151,0.25,0
Ricky Pearsall,2024.0,31.0,1.0,31.0,,,2.0,1,0,0,528.0,10.0,,5,4.0,0,0.23577235772357724,0.19241192411924118,0,0.4607454341226677,0.38326226012793174,0.4413746406239837,0.25,0
Ja'Lynn Polk,2024.0,37.0,2.0,5.0,,,3.0,0,0,0,87.0,15.0,,4,4.0,0,0.20186915887850468,0.2616822429906542,1,0.42933560446620506,0.38579828132066935,0.4184512736798211,0.25,0
Keon Coleman,2024.0,33.0,2.0,1.0,,,3.0,0,0,0,556.0,13.0,,3,2.0,1,0.21271393643031786,0.17114914425427874,0,0.3796035559034331,0.38579828132066935,0.38115223725774217,0.25,0
