player,draft_year,OVERALL_PICK,ROUND,SELECTION,HEIGHT,WEIGHT,draft_pick_bucket_ordinal,is_round1_pick,is_top10_pick,target_top40_ppg_within_3yrs,best_ppg_rank_within_window,first_top40_ppg_year,college_seasons_played,first_breakout_season_index,early_breakout_flag,final_team_target_share,final_top_teammate_target_share,final_season_with_dominant_teammate,model_prob_top40_ppg_within_3yrs,draft_prior_prob,prob_top40_ppg_within_3yrs,draft_blend_weight,predicted_top40_ppg_within_3yrs
Jayden Reed,2023.0,50.0,2.0,19.0,71.0,187.0,3.0,0,0,1,22.0,2023.0,4,1.0,1,0.21818181818181817,0.22857142857142856,1,0.5131057020662722,0.3700189753320683,0.4773340203827212,0.25,0
Zay Flowers,2023.0,22.0,1.0,22.0,69.0,182.0,2.0,1,0,1,14.0,2023.0,4,2.0,1,0.3046683046683047,0.10565110565110565,0,0.4987336292399535,0.2988235294117647,0.4487561042829063,0.25,0
Jaxon Smith-Njigba,2023.0,20.0,1.0,20.0,73.0,196.0,1.0,1,0,1,2.0,2024.0,3,2.0,1,0.02030456852791878,0.29949238578680204,1,0.44967658520843745,0.36828644501278773,0.42932905015952505,0.25,0
Jordan Addison,2023.0,23.0,1.0,23.0,71.0,173.0,2.0,1,0,1,20.0,2023.0,3,1.0,1,0.16155419222903886,0.14314928425357873,0,0.41284937493312973,0.2988235294117647,0.3843429135527885,0.25,0
Tank Dell,2023.0,69.0,3.0,6.0,68.0,165.0,4.0,0,0,1,15.0,2023.0,3,2.0,1,0.3297180043383948,0.12581344902386118,0,0.4036332443168463,0.22291021671826625,0.35845248741720126,0.25,0
Josh Downs,2023.0,79.0,3.0,16.0,69.0,171.0,5.0,0,0,1,32.0,2024.0,3,2.0,1,0.24116424116424118,0.13513513513513514,0,0.3814695568194392,0.21972318339100347,0.34103296346233025,0.25,0
Rashee Rice,2023.0,55.0,2.0,24.0,73.0,204.0,4.0,0,0,1,4.0,2023.0,4,3.0,0,0.3216494845360825,0.10721649484536082,0,0.37194216673853187,0.22291021671826625,0.33468417923346544,0.25,0
Jonathan Mingo,2023.0,39.0,2.0,8.0,74.0,220.0,3.0,0,0,0,88.0,,4,4.0,0,0.23770491803278687,0.23770491803278687,1,0.29369555364204836,0.3700189753320683,0.31277640906455334,0.25,0
Quentin Johnston,2023.0,21.0,1.0,21.0,75.0,208.0,2.0,1,0,1,19.0,2024.0,3,1.0,1,0.22877358490566038,0.15566037735849056,0,0.2870972977886469,0.2988235294117647,0.2900288556944264,0.25,0
Marvin Mims Jr.,2023.0,63.0,2.0,32.0,71.0,183.0,4.0,0,0,0,66.0,,3,1.0,1,0.22422680412371135,0.16494845360824742,0,0.27796276349039817,0.22291021671826625,0.2641996267973652,0.25,0
Cedric Tillman,2023.0,74.0,3.0,11.0,75.0,213.0,4.0,0,0,0,76.0,,5,4.0,0,0.14320388349514562,0.21601941747572814,1,0.2550562619908445,0.22291021671826625,0.24701975067269996,0.25,0
Jalin Hyatt,2023.0,73.0,3.0,10.0,72.0,176.0,4.0,0,0,0,107.0,,3,3.0,0,0.21601941747572814,0.1820388349514563,0,0.2259643295719612,0.22291021671826625,0.22520080135853746,0.25,0
Michael Wilson,2023.0,94.0,3.0,31.0,74.0,213.0,5.0,0,0,1,22.0,2025.0,5,3.0,0,0.09852216748768473,0.2019704433497537,1,0.20332069883367995,0.21972318339100347,0.20742131997301083,0.25,0
Tyler Scott,2023.0,133.0,4.0,31.0,70.0,177.0,6.0,0,0,0,145.0,,3,3.0,0,0.22448979591836735,0.20408163265306123,1,0.16870958447429063,0.16289592760180996,0.16725617025617046,0.25,0
Charlie Jones,2023.0,131.0,4.0,29.0,71.0,175.0,6.0,0,0,0,148.0,,3,1.0,1,0.283609576427256,0.141804788213628,0,0.16377599997889009,0.16289592760180996,0.16355598188462006,0.25,0
Xavier Hutchinson,2023.0,205.0,6.0,28.0,74.0,203.0,7.0,0,0,0,75.0,,3,1.0,1,0.3484848484848485,0.18614718614718614,0,0.17102344447229453,0.05018888289260658,0.14081480407737254,0.25,0
Tre Tucker,2023.0,100.0,3.0,37.0,69.0,182.0,5.0,0,0,0,46.0,,4,3.0,0,0.20408163265306123,0.22448979591836735,1,0.1143570073276413,0.21972318339100347,0.14069855134348183,0.25,0
Dontayvion Wicks,2023.0,159.0,5.0,24.0,73.0,206.0,7.0,0,0,0,60.0,,3,2.0,1,0.2222222222222222,0.23765432098765432,1,0.15495033823160842,0.05018888289260658,0.12875997439685796,0.25,0
A.T. Perry,2023.0,195.0,6.0,18.0,76.0,198.0,7.0,0,0,0,73.0,,4,3.0,0,0.2853982300884956,0.1504424778761062,0,0.15398113454078655,0.05018888289260658,0.12803307162874156,0.25,0
Derius Davis,2023.0,125.0,4.0,23.0,68.0,165.0,6.0,0,0,0,120.0,,5,4.0,0,0.15566037735849056,0.22877358490566038,1,0.0964989414744618,0.16289592760180996,0.11309818800629884,0.25,0
