player_id,player,1_position,1_franchise_id,2_position,2_franchise_id,3_position,3_franchise_id,4_position,4_franchise_id,5_position,5_franchise_id,6_position,6_franchise_id,7_position,7_franchise_id,career_Season_range,final_team_name,career_sum_player_game_count,career_avg_player_game_count,career_avg_avg_depth_of_target,career_max_avg_depth_of_target,career_avg_avoided_tackles,career_max_avoided_tackles,career_avg_caught_percent,career_max_caught_percent,career_avg_contested_catch_rate,career_max_contested_catch_rate,career_sum_contested_receptions,career_avg_contested_receptions,career_sum_contested_targets,career_avg_contested_targets,career_avg_drop_rate,career_max_drop_rate,career_sum_drops,career_avg_drops,career_sum_first_downs,career_max_first_downs,career_sum_fumbles,career_avg_grades_hands_drop,career_max_grades_hands_drop,career_avg_grades_hands_fumble,career_max_grades_hands_fumble,career_avg_grades_offense,career_max_grades_offense,career_avg_grades_pass_block,career_max_grades_pass_block,career_avg_grades_pass_route,career_max_grades_pass_route,career_avg_inline_rate,career_max_inline_rate,career_sum_inline_snaps,career_max_inline_snaps,career_max_longest,career_avg_pass_block_rate,career_max_pass_block_rate,career_sum_pass_blocks,career_sum_pass_plays,career_sum_receptions,career_avg_receptions,career_avg_route_rate,career_max_route_rate,career_sum_routes,career_avg_routes,career_avg_slot_rate,career_max_slot_rate,career_sum_slot_snaps,career_avg_targeted_qb_rating,career_max_targeted_qb_rating,career_sum_targets,career_avg_targets,career_sum_touchdowns,career_avg_touchdowns,career_avg_wide_rate,career_max_wide_rate,career_sum_wide_snaps,career_avg_wide_snaps,career_sum_yards,career_avg_yards,career_sum_yards_after_catch,career_avg_yards_after_catch,career_avg_yards_after_catch_per_reception,career_max_yards_after_catch_per_reception,career_avg_yards_per_reception,career_max_yards_per_reception,career_avg_yprr,career_max_yprr
9437,Amari Cooper,WR,103,,,,,,,,,,,,,2014,ALABAMA,14.0,14.0,9.9,9.9,26.0,26.0,71.3,71.3,,,0.0,0.0,0.0,0.0,6.1,6.1,8.0,8.0,0.0,0.0,0.0,79.4,79.4,78.8,78.8,92.8,92.8,,,93.3,93.3,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,446.0,124.0,124.0,97.1,97.1,433.0,433.0,19.5,19.5,87.0,128.7,128.7,174.0,174.0,16.0,16.0,79.6,79.6,355.0,355.0,1727.0,1727.0,878.0,878.0,7.1,7.1,13.9,13.9,3.99,3.99
9440,Kevin White,WR,343,,,,,,,,,,,,,2014,W VIRGINIA,13.0,13.0,11.1,11.1,24.0,24.0,68.1,68.1,,,0.0,0.0,0.0,0.0,7.6,7.6,9.0,9.0,0.0,0.0,1.0,72.6,72.6,61.2,61.2,78.5,78.5,,,78.2,78.2,0.5,0.5,3.0,3.0,68.0,0.0,0.0,0.0,590.0,109.0,109.0,94.6,94.6,558.0,558.0,7.6,7.6,45.0,104.3,104.3,160.0,160.0,10.0,10.0,90.7,90.7,535.0,535.0,1447.0,1447.0,679.0,679.0,6.2,6.2,13.3,13.3,2.59,2.59
9447,DeVante Parker,WR,210,,,,,,,,,,,,,2014,LOUISVILLE,6.0,6.0,14.4,14.4,15.0,15.0,57.3,57.3,,,0.0,0.0,0.0,0.0,4.4,4.4,2.0,2.0,1.0,1.0,0.0,79.1,79.1,73.2,73.2,92.2,92.2,,,92.4,92.4,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,206.0,43.0,43.0,97.6,97.6,201.0,201.0,10.2,10.2,21.0,86.3,86.3,75.0,75.0,5.0,5.0,89.8,89.8,185.0,185.0,855.0,855.0,348.0,348.0,8.1,8.1,19.9,19.9,4.25,4.25
9453,Nelson Agholor,WR,326,,,,,,,,,,,,,2014,USC,13.0,13.0,8.9,8.9,17.0,17.0,76.3,76.3,,,0.0,0.0,0.0,0.0,6.4,6.4,7.0,7.0,0.0,0.0,0.0,77.6,77.6,77.7,77.7,89.2,89.2,,,91.2,91.2,2.4,2.4,11.0,11.0,87.0,0.0,0.0,0.0,467.0,103.0,103.0,95.7,95.7,447.0,447.0,52.2,52.2,244.0,129.4,129.4,135.0,135.0,12.0,12.0,41.5,41.5,194.0,194.0,1306.0,1306.0,573.0,573.0,5.6,5.6,12.7,12.7,2.92,2.92
9459,Breshad Perriman,WR,323,,,,,,,,,,,,,2014,UCF,13.0,13.0,17.7,17.7,7.0,7.0,51.5,51.5,,,0.0,0.0,0.0,0.0,13.8,13.8,8.0,8.0,1.0,1.0,0.0,45.9,45.9,74.2,74.2,71.8,71.8,,,71.8,71.8,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,440.0,50.0,50.0,94.1,94.1,414.0,414.0,5.9,5.9,26.0,107.9,107.9,97.0,97.0,9.0,9.0,94.1,94.1,414.0,414.0,1044.0,1044.0,253.0,253.0,5.1,5.1,20.9,20.9,2.52,2.52
9462,Phillip Dorsett,WR,220,,,,,,,,,,,,,2014,MIAMI FL,13.0,13.0,18.9,18.9,3.0,3.0,53.7,53.7,,,0.0,0.0,0.0,0.0,2.7,2.7,1.0,1.0,0.0,0.0,0.0,83.6,83.6,73.2,73.2,72.9,72.9,,,71.6,71.6,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,386.0,36.0,36.0,96.9,96.9,374.0,374.0,22.8,22.8,88.0,132.3,132.3,67.0,67.0,10.0,10.0,77.2,77.2,298.0,298.0,871.0,871.0,360.0,360.0,10.0,10.0,24.2,24.2,2.33,2.33
9470,Devin Smith,WR,260,,,,,,,,,,,,,2014,OHIO STATE,15.0,15.0,23.8,23.8,2.0,2.0,68.8,68.8,,,0.0,0.0,0.0,0.0,5.7,5.7,2.0,2.0,0.0,0.0,0.0,74.5,74.5,72.2,72.2,80.7,80.7,,,82.6,82.6,0.4,0.4,1.0,1.0,80.0,0.0,0.0,0.0,264.0,33.0,33.0,97.3,97.3,257.0,257.0,22.3,22.3,59.0,133.7,133.7,48.0,48.0,12.0,12.0,76.9,76.9,203.0,203.0,931.0,931.0,231.0,231.0,7.0,7.0,28.2,28.2,3.62,3.62
9474,Devin Funchess,WR,222,,,,,,,,,,,,,2014,MICHIGAN,11.0,11.0,9.7,9.7,7.0,7.0,60.8,60.8,,,0.0,0.0,0.0,0.0,8.8,8.8,6.0,6.0,0.0,0.0,0.0,66.1,66.1,75.2,75.2,72.0,72.0,69.8,69.8,71.8,71.8,2.6,2.6,9.0,9.0,45.0,0.3,0.3,1.0,345.0,62.0,62.0,96.2,96.2,332.0,332.0,39.4,39.4,136.0,79.4,79.4,102.0,102.0,4.0,4.0,57.7,57.7,199.0,199.0,733.0,733.0,268.0,268.0,4.3,4.3,11.8,11.8,2.21,2.21
9502,Tyler Lockett,WR,199,,,,,,,,,,,,,2014,KANSAS ST,13.0,13.0,11.9,11.9,9.0,9.0,72.1,72.1,,,0.0,0.0,0.0,0.0,6.2,6.2,7.0,7.0,0.0,0.0,0.0,79.1,79.1,78.0,78.0,92.7,92.7,,,92.8,92.8,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,445.0,106.0,106.0,93.3,93.3,415.0,415.0,15.3,15.3,68.0,121.6,121.6,147.0,147.0,11.0,11.0,84.3,84.3,375.0,375.0,1515.0,1515.0,455.0,455.0,4.3,4.3,14.3,14.3,3.65,3.65
9503,Jaelen Strong,WR,110,,,,,,,,,,,,,2014,ARIZONA ST,12.0,12.0,13.9,13.9,7.0,7.0,53.3,53.3,,,0.0,0.0,0.0,0.0,8.0,8.0,7.0,7.0,1.0,1.0,0.0,70.3,70.3,76.2,76.2,86.6,86.6,,,87.5,87.5,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,455.0,81.0,81.0,94.7,94.7,431.0,431.0,25.3,25.3,115.0,92.2,92.2,152.0,152.0,10.0,10.0,74.7,74.7,340.0,340.0,1168.0,1168.0,421.0,421.0,5.2,5.2,14.4,14.4,2.71,2.71
